x,y,yaw
-8.346858133063207674e+00,-3.926383819059912739e+00,-4.414347680352817882e+00
-8.366875842429781329e+00,-3.854793183954821068e+00,-4.460716221933389569e+00
-8.386893551796356761e+00,-3.783202548849728952e+00,-4.507084763513962145e+00
-8.405258405294370405e+00,-3.710174689695904249e+00,-4.551633599684720366e+00
-8.411777791734385445e+00,-3.626846724859479121e+00,-4.583141213751827259e+00
-8.418297178174400486e+00,-3.543518760023053549e+00,-4.614648827818935040e+00
-8.424816564614415526e+00,-3.460190795186630197e+00,-4.646156441886041044e+00
-8.431335951054430566e+00,-3.376862830350205069e+00,-4.677664055953147937e+00
-8.436935671159295325e+00,-3.292662818086082410e+00,-4.708264563437356998e+00
-8.432189144993742502e+00,-3.198652272260372076e+00,-4.728660121863966559e+00
-8.427442618828189680e+00,-3.104641726434659077e+00,-4.749055680290576120e+00
-8.422696092662636858e+00,-3.010631180608946078e+00,-4.769451238717184793e+00
-8.417949566497082259e+00,-2.916620634783235744e+00,-4.789846797143794355e+00
-8.412834325952568193e+00,-2.822217116212737853e+00,-4.809927675864793528e+00
-8.399054297502441813e+00,-2.718578738139790119e+00,-4.822613581503947700e+00
-8.385274269052315432e+00,-2.614940360066839720e+00,-4.835299487143101871e+00
-8.371494240602189052e+00,-2.511301981993889321e+00,-4.847985392782256930e+00
-8.357714212152062672e+00,-2.407663603920942030e+00,-4.860671298421411102e+00
-8.343934183701936291e+00,-2.304025225847991187e+00,-4.873357204060565273e+00
-8.323353063288228881e+00,-2.191813764269853859e+00,-4.880597221353568216e+00
-8.302771942874521471e+00,-2.079602302691710314e+00,-4.887837238646571159e+00
-8.282190822460814061e+00,-1.967390841113572986e+00,-4.895077255939574101e+00
-8.261609702047106651e+00,-1.855179379535435658e+00,-4.902317273232577044e+00
-8.241028581633399241e+00,-1.742967917957292112e+00,-4.909557290525579987e+00
-8.216065256378842108e+00,-1.623544992422670807e+00,-4.912894339285197809e+00
-8.190915454322547973e+00,-1.503815196081390804e+00,-4.916065304277438486e+00
-8.165765652266252062e+00,-1.384085399740104139e+00,-4.919236269269678274e+00
-8.140615850209956150e+00,-1.264355603398824135e+00,-4.922407234261918063e+00
-8.115466048153662015e+00,-1.144625807057544131e+00,-4.925578199254158740e+00
-8.088170690802025220e+00,-1.018960064370356022e+00,-4.925747247858720534e+00
-8.060684617424136889e+00,-8.927666820079837029e-01,-4.925649459451044265e+00
-8.033198544046248557e+00,-7.665732996456114945e-01,-4.925551671043367996e+00
-8.005712470668358449e+00,-6.403799172832322917e-01,-4.925453882635692615e+00
-7.978226397290470118e+00,-5.141865349208600833e-01,-4.925356094228016346e+00
-7.950649180585523723e+00,-3.832466218850377748e-01,-4.922768702978116195e+00
-7.923059246207032835e+00,-2.516444022436108430e-01,-4.919833925285114873e+00
-7.895469311828542835e+00,-1.200421826021911831e-01,-4.916899147592114439e+00
-7.867879377450053724e+00,1.156003703922847681e-02,-4.913964369899113116e+00
-7.840289443071562836e+00,1.431622566806554087e-01,-4.911029592206112682e+00
-7.814480539757074240e+00,2.784076932611944666e-01,-4.905877967931898453e+00
-7.789019154698976877e+00,4.143640014396101634e-01,-4.900293788227203962e+00
-7.763557769640877737e+00,5.503203096180333542e-01,-4.894709608522509470e+00
-7.738096384582780374e+00,6.862766177964491066e-01,-4.889125428817814978e+00
-7.712634999524683010e+00,8.222329259748647479e-01,-4.883541249113120486e+00
-7.690644582344421387e+00,9.608152392962083788e-01,-4.875863105904535644e+00
-7.669544156927709189e+00,1.100070887269575248e+00,-4.867648048977006425e+00
-7.648443731510996102e+00,1.239326535242942118e+00,-4.859432992049476319e+00
-7.627343306094283015e+00,1.378582183216316537e+00,-4.851217935121946212e+00
-7.606242880677569929e+00,1.517837831189683406e+00,-4.843002878194416105e+00
-7.590121122375307117e+00,1.658788374447893510e+00,-4.832726871230691224e+00
-7.575614066920972611e+00,1.800288613474168464e+00,-4.821782448039010127e+00
-7.561107011466638994e+00,1.941788852500435425e+00,-4.810838024847329919e+00
-7.546599956012305377e+00,2.083289091526702386e+00,-4.799893601655649711e+00
-7.532092900557971760e+00,2.224789330552977340e+00,-4.788949178463968614e+00
-7.523889143729083351e+00,2.367139440488154278e+00,-4.775965881966911297e+00
-7.518206706350373913e+00,2.509829498786894320e+00,-4.762167036147702426e+00
-7.512524268971663588e+00,2.652519557085642798e+00,-4.748368190328492666e+00
-7.506841831592953262e+00,2.795209615384383284e+00,-4.734569344509283795e+00
-7.501159394214243825e+00,2.937899673683123325e+00,-4.720770498690074923e+00
-7.502249105862317968e+00,3.080667328835577479e+00,-4.707364231913251373e+00
-7.506622283705197241e+00,3.223472606704991250e+00,-4.694148306490309785e+00
-7.510995461548076513e+00,3.366277884574397028e+00,-4.680932381067369086e+00
-7.515368639390955785e+00,3.509083162443803250e+00,-4.667716455644428386e+00
-7.519741817233835057e+00,3.651888440313217021e+00,-4.654500530221486798e+00
-7.529467586607036189e+00,3.794051321596348725e+00,-4.643006677387327308e+00
-7.542301312352681641e+00,3.935841198410030106e+00,-4.632512737669235214e+00
-7.555135038098327982e+00,4.077631075223719925e+00,-4.622018797951141345e+00
-7.567968763843974322e+00,4.219420952037401307e+00,-4.611524858233049251e+00
-7.580802489589620663e+00,4.361210828851083576e+00,-4.601030918514956269e+00
-7.597406157577195174e+00,4.501724797102513165e+00,-4.592042649492904971e+00
-7.616609785731615290e+00,4.641358828414445803e+00,-4.584092774054331798e+00
-7.635813413886036294e+00,4.780992859726378441e+00,-4.576142898615758625e+00
-7.655017042040457298e+00,4.920626891038319073e+00,-4.568193023177185452e+00
-7.674220670194878302e+00,5.060260922350251711e+00,-4.560243147738612279e+00
-7.695782256241118446e+00,5.198078630629733077e+00,-4.553637044400148604e+00
-7.719265141310322598e+00,5.334416371993892625e+00,-4.548125866476588897e+00
-7.742748026379525861e+00,5.470754113358044179e+00,-4.542614688553029190e+00
-7.766230911448729124e+00,5.607091854722195734e+00,-4.537103510629469483e+00
-7.789713796517934163e+00,5.743429596086354394e+00,-4.531592332705909776e+00
-7.814313320067132196e+00,5.877503697453667186e+00,-4.527329318587437257e+00
-7.839984816557126202e+00,6.009404704424015087e+00,-4.524264541721846555e+00
-7.865656313047121984e+00,6.141305711394370981e+00,-4.521199764856256742e+00
-7.891327809537115101e+00,6.273206718364718881e+00,-4.518134987990666041e+00
-7.916999306027109107e+00,6.405107725335066782e+00,-4.515070211125076227e+00
-7.942716786523560835e+00,6.534390872849989762e+00,-4.513231920077264370e+00
-7.968486248940352290e+00,6.660714700980503444e+00,-4.512780091258246529e+00
-7.994255711357144634e+00,6.787038529111018015e+00,-4.512328262439227800e+00
-8.020025173773937865e+00,6.913362357241538803e+00,-4.511876433620209959e+00
-8.045794636190729321e+00,7.039686185372053373e+00,-4.511424604801191229e+00
-8.070710093078723446e+00,7.163131032094343098e+00,-4.512262133374361994e+00
-8.094486875928323499e+00,7.282737236939006209e+00,-4.514818805137117863e+00
-8.118263658777921776e+00,7.402343441783663103e+00,-4.517375476899873732e+00
-8.142040441627520053e+00,7.521949646628319996e+00,-4.519932148662629601e+00
-8.165817224477118330e+00,7.641555851472983107e+00,-4.522488820425385470e+00
-8.188010677200951548e+00,7.758115050462419227e+00,-4.526501507012069325e+00
-8.207704134989363354e+00,7.869863187575189656e+00,-4.532813164373374448e+00
-8.227397592777775159e+00,7.981611324687966302e+00,-4.539124821734680459e+00
-8.247091050566186965e+00,8.093359461800737620e+00,-4.545436479095985582e+00
-8.266784508354598771e+00,8.205107598913508937e+00,-4.551748136457290705e+00
-8.284335976358562448e+00,8.313733803229865771e+00,-4.559818600011147360e+00
-8.297855463591796266e+00,8.416483428164722724e+00,-4.571199757574509803e+00
